Location,QuadKey,Url,Size,UploadDate
Afghanistan,123013032,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013032/part-00036-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.8MB,2026-02-23
Afghanistan,123013033,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013033/part-00044-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.0MB,2026-02-23
Afghanistan,123013100,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013100/part-00062-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.1MB,2026-02-23
Afghanistan,123013101,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013101/part-00083-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,5.6MB,2026-02-23
Afghanistan,123013102,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013102/part-00163-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,7.7MB,2026-02-23
Afghanistan,123013103,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013103/part-00069-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.2MB,2026-02-23
Afghanistan,123013110,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013110/part-00031-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.9MB,2026-02-23
Afghanistan,123013111,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013111/part-00137-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.8MB,2026-02-23
Afghanistan,123013112,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013112/part-00180-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,5.7MB,2026-02-23
Afghanistan,123013113,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013113/part-00062-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.9MB,2026-02-23
Afghanistan,123013120,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013120/part-00061-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.0MB,2026-02-23
Afghanistan,123013121,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013121/part-00038-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,582.4KB,2026-02-23
Afghanistan,123013122,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013122/part-00033-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.8MB,2026-02-23
